CaseID,ResponseType,TargetDensity,ActualDensity,DensityError,PreserveAnchors,ActualAnchorPreservation,AnchorMismatch,ComplementarityBias,ActualGapFill,GapMismatch,StructureType,EnergyProfile,VariantKind
Base_H44_FrontLoaded_AccentedEnding,Mirror,0.458333,0.458333,3.33333e-07,True,1,0,0.25,0.318182,0.068182,FrontLoaded,AccentedEnding,Base
Base_H44_FrontLoaded_Flat,Complement,0.408333,0.322917,0.0854163,True,1,0,0.75,0.83871,0.08871,FrontLoaded,Flat,Base
Base_H44_FrontLoaded_Increasing,Mirror,0.458333,0.458333,3.33333e-07,True,1,0,0.25,0.318182,0.068182,FrontLoaded,Increasing,Base
Variant_H08_AnchorLed_AccentedEnding,Intensify,0.240833,0.1875,0.053333,False,1,1,0.5,0.777778,0.277778,AnchorLed,AccentedEnding,Variant
Variant_H08_AnchorLed_Flat,Fill,0.283333,0.208333,0.0749997,False,1,1,0.65,0.7,0.05,AnchorLed,Flat,Variant
Variant_H08_AnchorLed_Increasing,Intensify,0.240833,0.177083,0.0637497,False,1,1,0.5,0.705882,0.205882,AnchorLed,Increasing,Variant
Variant_H08_BackLoaded_AccentedEnding,Intensify,0.240833,0.21875,0.022083,False,1,1,0.5,0.619048,0.119048,BackLoaded,AccentedEnding,Variant
Variant_H08_BackLoaded_Flat,Fill,0.283333,0.28125,0.002083,False,1,1,0.65,0.851852,0.201852,BackLoaded,Flat,Variant
Variant_H08_BackLoaded_Increasing,Fill,0.283333,0.28125,0.002083,False,1,1,0.7,0.851852,0.151852,BackLoaded,Increasing,Variant
Variant_H08_Clustered_AccentedEnding,Fill,0.283333,0.197917,0.0854163,False,1,1,0.7,0.736842,0.036842,Clustered,AccentedEnding,Variant
Variant_H08_Clustered_Flat,Intensify,0.253333,0.166667,0.0866663,False,0,0,0.55,0.625,0.075,Clustered,Flat,Variant
Variant_H08_Clustered_Increasing,Intensify,0.253333,0.177083,0.0762497,False,0,0,0.55,0.705882,0.155882,Clustered,Increasing,Variant
Variant_H08_Even_AccentedEnding,Intensify,0.240833,0.239583,0.00124967,False,1,1,0.5,0.695652,0.195652,Even,AccentedEnding,Variant
Variant_H08_Even_Flat,Intensify,0.253333,0.239583,0.0137497,False,1,1,0.5,0.695652,0.195652,Even,Flat,Variant
Variant_H08_Even_Increasing,Mirror,0.1,0.104167,0.00416667,True,1,0,0.225,0.4,0.175,Even,Increasing,Variant
Variant_H08_FrontLoaded_AccentedEnding,Intensify,0.240833,0.229167,0.0116663,False,1,1,0.5,0.727273,0.227273,FrontLoaded,AccentedEnding,Variant
Variant_H08_FrontLoaded_Flat,Intensify,0.253333,0.21875,0.034583,False,1,1,0.5,0.619048,0.119048,FrontLoaded,Flat,Variant
Variant_H08_FrontLoaded_Increasing,Mirror,0.1,0.104167,0.00416667,True,1,0,0.225,0.3,0.075,FrontLoaded,Increasing,Variant
Variant_H12_AnchorLed_AccentedEnding,Intensify,0.2825,0.21875,0.06375,False,1,1,0.5,0.619048,0.119048,AnchorLed,AccentedEnding,Variant
Variant_H12_AnchorLed_Flat,Fill,0.325,0.208333,0.116667,False,1,1,0.65,0.65,0,AnchorLed,Flat,Variant
Variant_H12_AnchorLed_Increasing,Fill,0.325,0.21875,0.10625,False,1,1,0.65,0.666667,0.016667,AnchorLed,Increasing,Variant
Variant_H12_BackLoaded_AccentedEnding,Intensify,0.2825,0.28125,0.00125,False,1,1,0.5,0.814815,0.314815,BackLoaded,AccentedEnding,Variant
Variant_H12_BackLoaded_Flat,Fill,0.325,0.322917,0.00208333,False,1,1,0.65,0.935484,0.285484,BackLoaded,Flat,Variant
Variant_H12_BackLoaded_Increasing,Intensify,0.2825,0.28125,0.00125,False,1,1,0.5,0.888889,0.388889,BackLoaded,Increasing,Variant
Variant_H12_Clustered_AccentedEnding,Fill,0.325,0.25,0.075,False,1,1,0.7,0.708333,0.008333,Clustered,AccentedEnding,Variant
Variant_H12_Clustered_Flat,Intensify,0.295,0.229167,0.0658333,False,1,1,0.55,0.681818,0.131818,Clustered,Flat,Variant
Variant_H12_Clustered_Increasing,Intensify,0.295,0.229167,0.0658333,False,1,1,0.55,0.636364,0.086364,Clustered,Increasing,Variant
Variant_H12_Even_AccentedEnding,Intensify,0.2825,0.28125,0.00125,False,1,1,0.5,0.777778,0.277778,Even,AccentedEnding,Variant
Variant_H12_Even_Flat,Intensify,0.295,0.291667,0.00333333,False,1,1,0.5,0.785714,0.285714,Even,Flat,Variant
Variant_H12_Even_Increasing,Intensify,0.2825,0.28125,0.00125,False,1,1,0.5,0.666667,0.166667,Even,Increasing,Variant
Variant_H12_FrontLoaded_AccentedEnding,Mirror,0.1375,0.135417,0.00208333,True,1,0,0.225,0.461539,0.236539,FrontLoaded,AccentedEnding,Variant
Variant_H12_FrontLoaded_Flat,Intensify,0.295,0.291667,0.00333333,False,1,1,0.5,0.785714,0.285714,FrontLoaded,Flat,Variant
