TurnID,CaptureTime,AnalysisTime,PlanningTime,GenerationTime,PlaybackTriggerTime,TotalLatency,CompileTime,PostCaptureLatency,StructureType,EnergyProfile,VariantKind,ResponseType,HitCount,StepCount,PlaybackTriggerMode,SkeletonSelectedStepCount
Variant_H20_AnchorLed_Increasing,4000,0.0233,0.0537,3.2972,0.0205,4003.3982,0.0035,3.3982,AnchorLed,Increasing,Variant,Intensify,20,96,SimulatedUnityPayloadPreparation,27
Base_H20_AnchorLed_AccentedEnding,4000,0.0358,0.0352,3.4855,0.002,4003.5623,0.0038,3.5623,AnchorLed,AccentedEnding,Base,Fill,20,96,SimulatedUnityPayloadPreparation,22
Variant_H20_AnchorLed_AccentedEnding,4000,0.0338,0.0288,2.8556,0.2361,4003.1675,0.0132,3.1675,AnchorLed,AccentedEnding,Variant,Fill,20,96,SimulatedUnityPayloadPreparation,24
Base_H24_Even_Flat,4000,0.3445,0.0949,1.6304,0.0023,4002.0762,0.0041,2.0762,Even,Flat,Base,Intensify,24,96,SimulatedUnityPayloadPreparation,38
Variant_H24_Even_Flat,4000,0.0336,0.0388,1.2985,0.0018,4001.3767,0.004,1.3767,Even,Flat,Variant,Intensify,24,96,SimulatedUnityPayloadPreparation,38
Base_H24_Even_Increasing,4000,0.0465,0.0685,2.0079,0.0109,4002.1375,0.0037,2.1375,Even,Increasing,Base,Intensify,24,96,SimulatedUnityPayloadPreparation,37
Variant_H24_Even_Increasing,4000,0.026,0.0445,2.0161,0.0021,4002.1258,0.0371,2.1258,Even,Increasing,Variant,Intensify,24,96,SimulatedUnityPayloadPreparation,37
Base_H24_Even_AccentedEnding,4000,0.0337,0.0451,2.4931,0.0058,4002.5818,0.0041,2.5818,Even,AccentedEnding,Base,Intensify,24,96,SimulatedUnityPayloadPreparation,37
Variant_H24_Even_AccentedEnding,4000,0.0179,0.0286,1.98,0.0017,4002.0306,0.0024,2.0306,Even,AccentedEnding,Variant,Intensify,24,96,SimulatedUnityPayloadPreparation,37
Base_H24_FrontLoaded_Flat,4000,0.018,0.6598,2.2992,0.0019,4002.9815,0.0026,2.9815,FrontLoaded,Flat,Base,Intensify,24,96,SimulatedUnityPayloadPreparation,38
Variant_H24_FrontLoaded_Flat,4000,0.0202,0.057,1.7132,0.0315,4001.8257,0.0038,1.8257,FrontLoaded,Flat,Variant,Intensify,24,96,SimulatedUnityPayloadPreparation,38
