CaseID,SelectedResponseType,TopScore,SecondScore,Margin
Variant_H12_Clustered_AccentedEnding,Fill,3.875,3.625,0.25
Base_H12_AnchorLed_Flat,Fill,4.125,3.875,0.25
Variant_H12_AnchorLed_Flat,Fill,4.125,3.875,0.25
Base_H12_AnchorLed_Increasing,Fill,3.875,3.125,0.75
Variant_H12_AnchorLed_Increasing,Fill,3.875,3.125,0.75
Base_H12_AnchorLed_AccentedEnding,Fill,3.875,3.125,0.75
Variant_H12_AnchorLed_AccentedEnding,Intensify,2.5,2,0.5
Base_H16_Even_Flat,Intensify,4.125,3.875,0.25
Variant_H16_Even_Flat,Intensify,4.125,3.125,1
Base_H16_Even_Increasing,Intensify,2.5,2,0.5
Variant_H16_Even_Increasing,Intensify,2.5,2,0.5
Base_H16_Even_AccentedEnding,Intensify,2.5,2,0.5
Variant_H16_Even_AccentedEnding,Intensify,2.5,2,0.5
Base_H16_FrontLoaded_Flat,Intensify,4.125,3.125,1
Variant_H16_FrontLoaded_Flat,Intensify,4.125,3.125,1
Base_H16_FrontLoaded_Increasing,Mirror,3.875,3.5,0.375
Variant_H16_FrontLoaded_Increasing,Intensify,4.625,3.875,0.75
Base_H16_FrontLoaded_AccentedEnding,Mirror,3.875,3.5,0.375
Variant_H16_FrontLoaded_AccentedEnding,Intensify,2.5,2,0.5
Base_H16_BackLoaded_Flat,Fill,4.125,3.875,0.25
Variant_H16_BackLoaded_Flat,Intensify,4.625,3.875,0.75
Base_H16_BackLoaded_Increasing,Intensify,2.5,2,0.5
Variant_H16_BackLoaded_Increasing,Intensify,2.5,2,0.5
Base_H16_BackLoaded_AccentedEnding,Intensify,2.5,2,0.5
Variant_H16_BackLoaded_AccentedEnding,Intensify,2.5,2,0.5
Base_H16_Clustered_Flat,Mirror,4,4,0
Variant_H16_Clustered_Flat,Intensify,4,2.875,1.125
Base_H16_Clustered_Increasing,Intensify,4,2.875,1.125
Variant_H16_Clustered_Increasing,Intensify,4,2.875,1.125
Base_H16_Clustered_AccentedEnding,Contrast,3.25,3,0.25
Variant_H16_Clustered_AccentedEnding,Contrast,3.25,3,0.25
Base_H16_AnchorLed_Flat,Fill,4.125,3.875,0.25
Variant_H16_AnchorLed_Flat,Fill,4.125,3.875,0.25
Base_H16_AnchorLed_Increasing,Fill,3.875,3.125,0.75
Variant_H16_AnchorLed_Increasing,Intensify,2.5,2,0.5
Base_H16_AnchorLed_AccentedEnding,Fill,3.875,3.125,0.75
Variant_H16_AnchorLed_AccentedEnding,Intensify,2.5,2,0.5
Base_H20_Even_Flat,Intensify,4.125,3.875,0.25
Variant_H20_Even_Flat,Intensify,4.125,3.125,1
Base_H20_Even_Increasing,Intensify,2.5,2,0.5
Variant_H20_Even_Increasing,Intensify,2.5,2,0.5
Base_H20_Even_AccentedEnding,Intensify,2.5,2,0.5
Variant_H20_Even_AccentedEnding,Intensify,2.5,2,0.5
Base_H20_FrontLoaded_Flat,Intensify,4.125,3.125,1
Variant_H20_FrontLoaded_Flat,Intensify,4.125,3.125,1
Base_H20_FrontLoaded_Increasing,Mirror,3.875,3.5,0.375
Variant_H20_FrontLoaded_Increasing,Mirror,3.875,3.5,0.375
Base_H20_FrontLoaded_AccentedEnding,Mirror,3.875,3.5,0.375
Variant_H20_FrontLoaded_AccentedEnding,Mirror,3.875,3.5,0.375
Base_H20_BackLoaded_Flat,Fill,4.125,3.875,0.25
Variant_H20_BackLoaded_Flat,Intensify,4.625,3.875,0.75
Base_H20_BackLoaded_Increasing,Intensify,2.5,2,0.5
Variant_H20_BackLoaded_Increasing,Intensify,2.5,2,0.5
Base_H20_BackLoaded_AccentedEnding,Intensify,2.5,2,0.5
Variant_H20_BackLoaded_AccentedEnding,Intensify,2.5,2,0.5
Base_H20_Clustered_Flat,Mirror,4,4,0
Variant_H20_Clustered_Flat,Mirror,4,4,0
Base_H20_Clustered_Increasing,Intensify,4,2.875,1.125
Variant_H20_Clustered_Increasing,Intensify,4,2.875,1.125
Base_H20_Clustered_AccentedEnding,Contrast,3.25,3,0.25
Variant_H20_Clustered_AccentedEnding,Contrast,3.25,3,0.25
Base_H20_AnchorLed_Flat,Fill,4.125,3.875,0.25
Variant_H20_AnchorLed_Flat,Intensify,4.125,3.875,0.25
Base_H20_AnchorLed_Increasing,Fill,3.875,3.125,0.75
Variant_H20_AnchorLed_Increasing,Intensify,2.5,2,0.5
Base_H20_AnchorLed_AccentedEnding,Fill,3.875,3.125,0.75
Variant_H20_AnchorLed_AccentedEnding,Fill,3.875,3.125,0.75
Base_H24_Even_Flat,Intensify,4.125,3.875,0.25
Variant_H24_Even_Flat,Intensify,4.125,3.125,1
Base_H24_Even_Increasing,Intensify,2.5,2,0.5
Variant_H24_Even_Increasing,Intensify,2.5,2,0.5
Base_H24_Even_AccentedEnding,Intensify,2.5,2,0.5
Variant_H24_Even_AccentedEnding,Intensify,2.5,2,0.5
Base_H24_FrontLoaded_Flat,Intensify,4.125,3.125,1
Variant_H24_FrontLoaded_Flat,Intensify,4.125,3.125,1
Base_H24_FrontLoaded_Increasing,Mirror,3.875,3.5,0.375
Variant_H24_FrontLoaded_Increasing,Intensify,4,2.875,1.125
Base_H24_FrontLoaded_AccentedEnding,Mirror,3.875,3.5,0.375
Variant_H24_FrontLoaded_AccentedEnding,Intensify,2.5,2,0.5
Base_H24_BackLoaded_Flat,Fill,4.125,3.875,0.25
Variant_H24_BackLoaded_Flat,Fill,4.125,3.875,0.25
Base_H24_BackLoaded_Increasing,Intensify,2.5,2,0.5
Variant_H24_BackLoaded_Increasing,Intensify,2.5,2,0.5
Base_H24_BackLoaded_AccentedEnding,Intensify,2.5,2,0.5
Variant_H24_BackLoaded_AccentedEnding,Intensify,2.5,2,0.5
Base_H24_Clustered_Flat,Intensify,4.625,3.125,1.5
Variant_H24_Clustered_Flat,Intensify,4.625,3.125,1.5
Base_H24_Clustered_Increasing,Fill,3.875,3.625,0.25
Variant_H24_Clustered_Increasing,Fill,3.875,3.625,0.25
Base_H24_Clustered_AccentedEnding,Fill,3.875,3.625,0.25
Variant_H24_Clustered_AccentedEnding,Fill,3.875,3.625,0.25
Base_H24_AnchorLed_Flat,Fill,4.125,3.875,0.25
Variant_H24_AnchorLed_Flat,Intensify,4.125,3.875,0.25
Base_H24_AnchorLed_Increasing,Fill,3.875,3.125,0.75
Variant_H24_AnchorLed_Increasing,Fill,3.875,3.125,0.75
Base_H24_AnchorLed_AccentedEnding,Fill,3.875,3.125,0.75
Variant_H24_AnchorLed_AccentedEnding,Fill,3.875,3.125,0.75
Base_H28_Even_Flat,Intensify,4.125,3.875,0.25
Variant_H28_Even_Flat,Fill,4.125,3.875,0.25
Base_H28_Even_Increasing,Intensify,2.5,2,0.5
Variant_H28_Even_Increasing,Mirror,3.875,3.5,0.375
Base_H28_Even_AccentedEnding,Intensify,2.5,2,0.5
Variant_H28_Even_AccentedEnding,Intensify,2.5,2,0.5
Base_H28_FrontLoaded_Flat,Intensify,4.125,3.125,1
Variant_H28_FrontLoaded_Flat,Intensify,4.125,3.125,1
Base_H28_FrontLoaded_Increasing,Mirror,3.875,3.5,0.375
Variant_H28_FrontLoaded_Increasing,Mirror,3.875,3.5,0.375
Base_H28_FrontLoaded_AccentedEnding,Mirror,3.875,3.5,0.375
Variant_H28_FrontLoaded_AccentedEnding,Intensify,4,2.875,1.125
Base_H28_BackLoaded_Flat,Fill,4.125,3.875,0.25
Variant_H28_BackLoaded_Flat,Fill,4.125,3.875,0.25
Base_H28_BackLoaded_Increasing,Intensify,2.5,2,0.5
Variant_H28_BackLoaded_Increasing,Contrast,3.25,3,0.25
Base_H28_BackLoaded_AccentedEnding,Intensify,2.5,2,0.5
Variant_H28_BackLoaded_AccentedEnding,Intensify,2.5,2,0.5
Base_H28_Clustered_Flat,Intensify,4.625,3.125,1.5
Variant_H28_Clustered_Flat,Intensify,4.625,3.875,0.75
Base_H28_Clustered_Increasing,Fill,3.875,3.625,0.25
Variant_H28_Clustered_Increasing,Fill,3.875,3.625,0.25
Base_H28_Clustered_AccentedEnding,Fill,3.875,3.625,0.25
Variant_H28_Clustered_AccentedEnding,Fill,3.875,3.625,0.25
Base_H28_AnchorLed_Flat,Fill,4.125,3.875,0.25
Variant_H28_AnchorLed_Flat,Intensify,4.125,3.875,0.25
Base_H28_AnchorLed_Increasing,Fill,3.875,3.125,0.75
Variant_H28_AnchorLed_Increasing,Intensify,2.5,2,0.5
Base_H28_AnchorLed_AccentedEnding,Fill,3.875,3.125,0.75
Variant_H28_AnchorLed_AccentedEnding,Fill,3.875,3.125,0.75
Base_H32_Even_Flat,Intensify,4.125,3.875,0.25
Variant_H32_Even_Flat,Fill,4.125,3.875,0.25
Base_H32_Even_Increasing,Intensify,2.5,2,0.5
Variant_H32_Even_Increasing,Intensify,4.625,3.875,0.75
Base_H32_Even_AccentedEnding,Intensify,2.5,2,0.5
Variant_H32_Even_AccentedEnding,Intensify,2.5,2,0.5
Base_H32_FrontLoaded_Flat,Intensify,4.125,3.125,1
Variant_H32_FrontLoaded_Flat,Intensify,4.625,3.125,1.5
Base_H32_FrontLoaded_Increasing,Intensify,4,2.875,1.125
Variant_H32_FrontLoaded_Increasing,Intensify,4,2.875,1.125
Base_H32_FrontLoaded_AccentedEnding,Mirror,3.875,3.5,0.375
Variant_H32_FrontLoaded_AccentedEnding,Mirror,3.875,3.5,0.375
Base_H32_BackLoaded_Flat,Fill,4.125,3.875,0.25
Variant_H32_BackLoaded_Flat,Intensify,4.625,3.875,0.75
Base_H32_BackLoaded_Increasing,Fill,3.875,3.125,0.75
Variant_H32_BackLoaded_Increasing,Fill,3.875,3.125,0.75
Base_H32_BackLoaded_AccentedEnding,Fill,3.875,3.125,0.75
Variant_H32_BackLoaded_AccentedEnding,Fill,3.875,3.125,0.75
Base_H32_Clustered_Flat,Intensify,4.625,3.125,1.5
Variant_H32_Clustered_Flat,Intensify,4.625,3.125,1.5
Base_H32_Clustered_Increasing,Fill,3.875,3.625,0.25
Variant_H32_Clustered_Increasing,Intensify,4.625,3.875,0.75
Base_H32_Clustered_AccentedEnding,Fill,3.875,3.625,0.25
Variant_H32_Clustered_AccentedEnding,Contrast,3.25,3,0.25
Base_H32_AnchorLed_Flat,Fill,4.125,3.875,0.25
Variant_H32_AnchorLed_Flat,Intensify,4.125,3.875,0.25
Base_H32_AnchorLed_Increasing,Fill,3.875,3.125,0.75
Variant_H32_AnchorLed_Increasing,Fill,3.875,3.125,0.75
Base_H32_AnchorLed_AccentedEnding,Fill,3.875,3.125,0.75
Variant_H32_AnchorLed_AccentedEnding,Fill,3.875,3.125,0.75
Base_H36_Even_Flat,Complement,6.75,6.25,0.5
Variant_H36_Even_Flat,Complement,6,5.125,0.875
Base_H36_Even_Increasing,Mirror,4.375,3.875,0.5
Variant_H36_Even_Increasing,Mirror,4.375,3.875,0.5
Base_H36_Even_AccentedEnding,Mirror,4.375,3.875,0.5
Variant_H36_Even_AccentedEnding,Mirror,4.375,3.875,0.5
Base_H36_FrontLoaded_Flat,Complement,6,5.125,0.875
Variant_H36_FrontLoaded_Flat,Complement,6,5.125,0.875
Base_H36_FrontLoaded_Increasing,Mirror,5.375,3.875,1.5
Variant_H36_FrontLoaded_Increasing,Complement,4.5,4.125,0.375
Base_H36_FrontLoaded_AccentedEnding,Mirror,6.375,5.375,1
Variant_H36_FrontLoaded_AccentedEnding,Mirror,6.375,5.375,1
Base_H36_BackLoaded_Flat,Mirror,6.375,5.375,1
Variant_H36_BackLoaded_Flat,Mirror,6.375,5.375,1
Base_H36_BackLoaded_Increasing,Mirror,4.375,3.875,0.5
Variant_H36_BackLoaded_Increasing,Mirror,4.375,3.875,0.5
Base_H36_BackLoaded_AccentedEnding,Mirror,4.375,3.875,0.5
Variant_H36_BackLoaded_AccentedEnding,Mirror,4.375,3.875,0.5
Base_H36_Clustered_Flat,Mirror,5.25,5.25,0
Variant_H36_Clustered_Flat,Complement,4.5,4.125,0.375
Base_H36_Clustered_Increasing,Contrast,3.875,3,0.875
Variant_H36_Clustered_Increasing,Complement,4.5,4.125,0.375
Base_H36_Clustered_AccentedEnding,Contrast,3.875,3,0.875
Variant_H36_Clustered_AccentedEnding,Contrast,3.875,3,0.875
Base_H36_AnchorLed_Flat,Complement,6,5.125,0.875
Variant_H36_AnchorLed_Flat,Complement,6.75,6.25,0.5
Base_H36_AnchorLed_Increasing,Complement,4.5,3.125,1.375
Variant_H36_AnchorLed_Increasing,Complement,4.5,3.125,1.375
Base_H36_AnchorLed_AccentedEnding,Complement,4.5,3.125,1.375
Variant_H36_AnchorLed_AccentedEnding,Mirror,4.375,3.875,0.5
Base_H40_Even_Flat,Complement,6.75,6.25,0.5
Variant_H40_Even_Flat,Complement,6,5.125,0.875
Base_H40_Even_Increasing,Contrast,3.875,3,0.875
Variant_H40_Even_Increasing,Contrast,3.875,3,0.875
Base_H40_Even_AccentedEnding,Complement,4.5,3.125,1.375
Variant_H40_Even_AccentedEnding,Complement,4.5,3.125,1.375
Base_H40_FrontLoaded_Flat,Complement,6,5.125,0.875
Variant_H40_FrontLoaded_Flat,Complement,6,5.125,0.875
Base_H40_FrontLoaded_Increasing,Mirror,5.375,3.875,1.5
Variant_H40_FrontLoaded_Increasing,Complement,4.5,4.125,0.375
Base_H40_FrontLoaded_AccentedEnding,Mirror,6.375,5.375,1
Variant_H40_FrontLoaded_AccentedEnding,Mirror,6.375,5.375,1
Base_H40_BackLoaded_Flat,Mirror,6.375,5.375,1
Variant_H40_BackLoaded_Flat,Mirror,6.375,5.375,1
Base_H40_BackLoaded_Increasing,Mirror,4.375,3.875,0.5
Variant_H40_BackLoaded_Increasing,Mirror,4.375,3.875,0.5
Base_H40_BackLoaded_AccentedEnding,Mirror,4.375,3.875,0.5
Variant_H40_BackLoaded_AccentedEnding,Mirror,4.375,3.875,0.5
Base_H40_Clustered_Flat,Mirror,5.25,5.25,0
Variant_H40_Clustered_Flat,Mirror,5.25,5.25,0
Base_H40_Clustered_Increasing,Contrast,3.875,3,0.875
Variant_H40_Clustered_Increasing,Contrast,3.875,3,0.875
Base_H40_Clustered_AccentedEnding,Contrast,3.875,3,0.875
Variant_H40_Clustered_AccentedEnding,Contrast,3.875,3.375,0.5
Base_H40_AnchorLed_Flat,Complement,6,5.125,0.875
Variant_H40_AnchorLed_Flat,Complement,6,5.125,0.875
Base_H40_AnchorLed_Increasing,Complement,4.5,3.125,1.375
Variant_H40_AnchorLed_Increasing,Complement,4.5,3.125,1.375
Base_H40_AnchorLed_AccentedEnding,Complement,4.5,3.125,1.375
Variant_H40_AnchorLed_AccentedEnding,Complement,4.5,3.125,1.375
Base_H44_Even_Flat,Complement,6.75,6.25,0.5
Variant_H44_Even_Flat,Complement,6,5.125,0.875
Base_H44_Even_Increasing,Contrast,3.875,3,0.875
Variant_H44_Even_Increasing,Contrast,3.875,3,0.875
Base_H44_Even_AccentedEnding,Complement,4.5,3.125,1.375
Variant_H44_Even_AccentedEnding,Complement,4.5,3.125,1.375
Base_H44_FrontLoaded_Flat,Complement,6,5.125,0.875
Variant_H44_FrontLoaded_Flat,Complement,6,5.125,0.875
Base_H44_FrontLoaded_Increasing,Mirror,6.375,5.375,1
Variant_H44_FrontLoaded_Increasing,Mirror,6.375,5.375,1
Base_H44_FrontLoaded_AccentedEnding,Mirror,6.375,5.375,1
Variant_H44_FrontLoaded_AccentedEnding,Mirror,6.375,5.375,1
Base_H44_BackLoaded_Flat,Mirror,6.375,5.375,1
Variant_H44_BackLoaded_Flat,Mirror,6.375,5.375,1
Base_H44_BackLoaded_Increasing,Mirror,4.375,3.875,0.5
Variant_H44_BackLoaded_Increasing,Mirror,4.375,3.875,0.5
Base_H44_BackLoaded_AccentedEnding,Mirror,4.375,3.875,0.5
Variant_H44_BackLoaded_AccentedEnding,Mirror,4.375,3.875,0.5
Base_H44_Clustered_Flat,Mirror,5.25,5.25,0
Variant_H44_Clustered_Flat,Complement,4.5,4.125,0.375
Base_H44_Clustered_Increasing,Contrast,3.875,3,0.875
Variant_H44_Clustered_Increasing,Contrast,3.875,3,0.875
Base_H44_Clustered_AccentedEnding,Contrast,3.875,3,0.875
Variant_H44_Clustered_AccentedEnding,Contrast,3.875,3,0.875
Base_H44_AnchorLed_Flat,Complement,6,5.125,0.875
Variant_H44_AnchorLed_Flat,Complement,6,5.125,0.875
Base_H44_AnchorLed_Increasing,Complement,4.5,3.125,1.375
Variant_H44_AnchorLed_Increasing,Contrast,3.875,3,0.875
Base_H44_AnchorLed_AccentedEnding,Complement,4.5,3.125,1.375
Variant_H44_AnchorLed_AccentedEnding,Mirror,4.375,3.875,0.5
